ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2025,      477518901,1,2,80,6,2023, 
2025,      477803001,1,1,63,5,2023, 
2025,      477900801,1,1,65,12,2021, 
2025,      477900801,2,2,54,7,2023, 
2025,      478107901,1,1,68,1,2025, 
2025,      478108701,1,2,22,8,2023,4
2025,      478314101,1,2,66,3,2020, 
2025,      478319101,1,2,40,9,2022,4
2025,      478400901,1,2,84,1,2025, 
2025,      478502101,1,1,87,6,2024, 
2025,      478602201,1,2,81,9,2024, 
2025,      478603101,1,2,73,2,2022, 
2025,      478608001,1,1,70,1,2020, 
2025,      479004201,1,1,58,5,2021, 
2025,      479006501,1,1,14,3,2020, 
2025,      479007101,1,2,15,10,2020,4
2025,      479206401,1,2,57,1,2025, 
2025,      479304601,1,1,24,2,2025, 
2025,      479403501,1,1,47,11,2021, 
2025,      479501901,1,2,19,5,2021,4
2025,      479502801,1,1,79,2,2024, 
2025,      479602701,1,1,67,10,2023, 
2025,      479603001,1,1,59,8,2020, 
2025,      479604401,1,2,43,12,2020,4
2025,      479700301,1,1,82,12,2024, 
2025,      479700401,1,1,83,12,2024, 
2025,      479701701,1,2,0,2,2021, 
2025,      479708901,1,2,64,10,2024, 
2025,      479709001,1,2,109,6,2023, 
2025,      479807001,1,1,77,3,2020, 
2025,      479900701,1,2,98,9,2020, 
2025,      479902401,1,2,86,5,2023, 
2025,      479902801,1,1,89,2,2025, 
2025,      480100401,1,1,94,11,2022, 
2025,      480209601,1,1,97,11,2023, 
2025,      480302301,1,2,99,12,2023, 
2025,      480501001,1,2,61,8,2022, 
2025,      480501601,1,1,62,3,2020, 
2025,      480504101,1,1,10,8,2020, 
2025,      480701701,1,2,91,10,2024, 
2025,      481104101,1,2,0,10,2020, 
2025,      481302401,1,2,90,1,2021, 
2025,      481302401,2,1,101,7,2021, 
2025,      481802301,1,1,105,4,2025, 
2025,      481807501,1,1,79,12,2020, 
2025,      482108601,1,2,50,4,2022, 
2025,      482117601,1,1,80,2,2022, 
2025,      482400401,1,1,68,11,2023, 
2025,      482404201,1,1,75,4,2022, 
2025,      482407401,1,2,0,1,2024, 
2025,      482602101,1,2,54,2,2022, 
2025,      482701901,1,1,65,6,2021, 
2025,      482702001,1,2,65,6,2021, 
2025,      482802101,1,2,83,11,2024, 
2025,      482804701,1,1,63,3,2023, 
2025,      483003301,1,1,88,9,2024, 
2025,      483101301,1,2,90,6,2023, 
2025,      483104201,1,1,92,3,2023, 
2025,      483208601,1,2,95,4,2020, 
2025,      483300201,1,1,78,9,2023, 
2025,      483706001,1,1,49,6,2021, 
2025,      483808901,1,2,80,8,2020, 
2025,      484004401,1,1,35,12,2023, 
2025,      484100201,1,1,82,2,2022, 
2025,      484402101,1,2,77,7,2025, 
2025,      484402201,1,1,30,9,2022, 
2025,      484402201,2,1,40,1,2025, 
2025,      484402301,1,1,75,12,2022, 
2025,      484402401,1,2,84,5,2021, 
2025,      484404101,1,2,82,2,2021, 
2025,      484404201,1,2,65,1,2025, 
2025,      484509601,1,1,75,12,2020, 
2025,      484602301,1,1,26,3,2025, 
2025,      484806901,1,1,94,6,2020, 
2025,      484908401,1,2,38,7,2021,4
2025,      485604401,1,2,83,11,2022, 
2025,      485605401,1,1,75,8,2022, 
2025,      485700101,1,2,65,3,2020, 
2025,      485703201,1,2,29,5,2020,4
2025,      485705401,1,2,68,4,2021, 
2025,      486409801,1,2,79,11,2024, 
2025,      486503801,1,1,83,5,2020, 
2025,      486712401,1,1,80,11,2024, 
2025,      486815401,1,1,33,6,2021, 
2025,      486816001,1,2,80,5,2022, 
2025,      486903801,1,1,86,5,2021, 
2025,      487000901,1,2,46,12,2022,4
2025,      487103401,1,1,80,8,2022, 
2025,      487203601,1,1,74,6,2024, 
2025,      487209401,1,1,65,10,2024, 
2025,      487403801,1,1,54,6,2020, 
2025,      487608601,1,2,84,9,2023, 
2025,      487700801,1,2,83,1,2020, 
2025,      487810301,1,1,61,1,2023, 
2025,      487901301,1,1,35,8,2021, 
2025,      488104301,1,2,89,6,2025, 
2025,      488410201,1,1,67,5,2022, 
2025,      488410301,1,1,66,5,2023, 
2025,      488513201,1,1,73,2,2023, 
2025,      488910701,1,2,91,8,2022, 
2025,      488915701,1,1,30,11,2022, 
2025,      489002501,1,1,77,1,2023, 
2025,      489015601,1,1,24,9,2022, 
2025,      489015601,2,1,65,9,2024, 
2025,      489201301,1,2,84,1,2020, 
2025,      489507901,1,1,45,7,2020, 
2025,      489711101,1,1,65,6,2024, 
2025,      489801301,1,2,49,8,2025,4
2025,      489818101,1,2,87,1,2022, 
2025,      490003401,1,2,96,8,2023, 
2025,      490003801,1,1,44,5,2021, 
2025,      490100701,1,1,65,9,2025, 
2025,      490201401,1,1,61,8,2020, 
2025,      490404501,1,1,96,7,2021, 
2025,      490510601,1,2,86,4,2025, 
2025,      490605301,1,2,65,5,2023, 
2025,      490605301,2,1,29,5,2023, 
2025,      490610401,1,1,51,5,2023, 
2025,      490707801,1,1,65,10,2020, 
2025,      490913401,1,1,47,2,2021, 
2025,      491104001,1,2,95,10,2025, 
2025,      491313401,1,1,24,6,2020, 
2025,      491501801,1,1,80,2,2020, 
2025,      491516301,1,2,85,11,2024, 
2025,      491605301,1,1,89,3,2025, 
2025,      491705401,1,2,97,5,2025, 
