ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN,QH100B
2025,      435707501,4357,75,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      435709501,4357,95,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      435709601,4357,96,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      435709701,4357,97,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      435709801,4357,98,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      435710001,4357,100,1,2,2,2, , , , , , , , ,2,2,2,4,2
2025,      435800101,4358,1,1, ,2,1,2,1,2,2, , , , ,1,2,2,2,2
2025,      435800201,4358,2,1, ,2,1,2,8,2,2, , , , ,2,2,2,2,2
2025,      435800301,4358,3,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      435800401,4358,4,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      435800501,4358,5,1, ,2,1,1,10,2,2, , , ,1,2,2, ,0,2
2025,      435803601,4358,36,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      435804101,4358,41,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      435804201,4358,42,1,2,2,2, , , , , , , , ,2,2, ,0, 
2025,      435804301,4358,43,1, ,2,1,1,5,2,2, , , , ,2,2, ,1,2
2025,      435804401,4358,44,1,2,2,1,1,8,2,2, , , , ,1,2,2,4,1
2025,      435804501,4358,45,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      435804701,4358,47,1, ,2,2, , , , , , , , ,2,2, ,1,2
2025,      435804801,4358,48,1,2,2,2, , , , , , , , ,1,2, ,2,2
2025,      435804901,4358,49,1, ,2,1,2,8,2,2, , , , ,1,2,1,2,2
2025,      435907801,4359,78,1, ,2,1,2,0,3,2, , , , ,1,2,2,2,1
2025,      435908101,4359,81,1,2,2,2, , , , , , , , ,2,2, ,0,2
2025,      435908201,4359,82,1, ,2,1,1,7,3,2, , , , ,1,2,2,2,1
2025,      435908501,4359,85,1, ,2,2, , , , , , , , ,1,2, ,1,2
2025,      435909001,4359,90,1, ,2,1,1,2,3,2, , , , ,1,2,2,1,1
2025,      435913401,4359,134,1, ,2,2, , , , , , , ,2,2,2, ,2,2
2025,      435913501,4359,135,1, ,2,1,2,2,3,2, , , , ,2,2, ,2,2
2025,      435913601,4359,136,1, ,2,1,2,3,3,2, , , , ,1,2,2,2,2
2025,      435913701,4359,137,1, ,2,1,1,9,3,2, , , , ,1,2, ,1,1
2025,      435913801,4359,138,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      435913901,4359,139,1,2,2,2, , , , , , , , ,2,2, ,0, 
2025,      435914001,4359,140,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      435914101,4359,141,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      435914201,4359,142,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      435914301,4359,143,1, ,2,2, , , , , , , , ,1,2, ,1,2
2025,      436000701,4360,7,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436000801,4360,8,1,2,2,1,1,12,0,2, , , , ,2,2, ,1,2
2025,      436000901,4360,9,1, ,2,1,2,10,4,2, , , , ,2,2, ,3,2
2025,      436001001,4360,10,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436002001,4360,20,1,2,2,1,2,6,4,2, , , ,2,2,2, ,3,2
2025,      436002101,4360,21,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      436002201,4360,22,1, ,2,2, , , , , , , , ,1,2,2,2,2
2025,      436002301,4360,23,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      436002501,4360,25,1, ,2,1,1,10,3,2, , , , ,2,2, ,0, 
2025,      436011701,4360,117,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      436011801,4360,118,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436011901,4360,119,1,2,2,2, , , , , , , ,2,2,2, ,3,2
