ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100C1_A,PS100C1_M,PS100C_1S,PS8
2025,      487901301,6,4879,13,1,0,4,2,1
2025,      487905301,8,4879,53,1,1,3,2,1
2025,      487906501,7,4879,65,1,0,5,2,1
2025,      488509901,4,4885,99,1,0,7,2,1
2025,      488510001,5,4885,100,1,1,6,2,1
2025,      488510201,4,4885,102,1,0,2,2,1
2025,      488611601,3,4886,116,1,1,7,2,1
2025,      488806001,2,4888,60,1,0,7,2,1
2025,      488907401,3,4889,74,1,0,4,2,1
2025,      489000901,3,4890,9,1,1,2,2,1
2025,      489002501,2,4890,25,1,1,0,2,1
2025,      489009401,8,4890,94,1,1,3,2,1
2025,      489010401,4,4890,104,1,0,4,2,1
2025,      489109401,4,4891,94,1,0,3,2,1
2025,      489211401,3,4892,114,1,0,3,2,1
2025,      489304101,5,4893,41,1,1,2,2,1
2025,      489305801,4,4893,58,1,1,6,2,1
2025,      489401901,7,4894,19,1,1,0,2,1
2025,      489412001,5,4894,120,1,0,4,2,1
2025,      489501101,2,4895,11,1,0,8,2,1
2025,      489508101,5,4895,81,1,2,0,2,1
2025,      489508201,4,4895,82,1,0,5,2,1
2025,      489517601,6,4895,176,1,1,4,1,1
2025,      489517601,9,4895,176,1,1,0,2,2
2025,      489604501,4,4896,45,1,1,5,2,1
2025,      489612701,5,4896,127,1,0,9,2,1
2025,      489613201,4,4896,132,1,1,0,2,1
2025,      489706901,2,4897,69,1,0,10,2,1
2025,      489707001,3,4897,70,1,0,5,2,1
2025,      489707301,4,4897,73,1,0,3,2,1
2025,      489711001,6,4897,110,1,0,5,2,1
2025,      489800901,5,4898,9,1,0,7,2,1
2025,      489812501,4,4898,125,1,0,2,2,1
2025,      489812601,3,4898,126,1,1,2,2,1
2025,      489817501,4,4898,175,1,0,6,2,1
2025,      489817801,3,4898,178,1,0,10,2,1
2025,      489914801,5,4899,148,1,0,3,2,1
2025,      489914901,4,4899,149,1,0,5,2,1
2025,      490102801,3,4901,28,1,1,5,1,1
2025,      490102801,4,4901,28,1,1,5,2,2
2025,      490201601,4,4902,16,1,0,2,2,1
2025,      490211301,3,4902,113,1,1,8,2,1
2025,      491300601,4,4913,6,1,2,3,2,1
2025,      491301701,4,4913,17,1,2,8,2,1
2025,      491313401,3,4913,134,1,2,0,2,1
2025,      491313901,5,4913,139,1,1,0,2,1
2025,      491508001,5,4915,80,1,2,0,2,1
2025,      491605701,4,4916,57,1,2,3,2,1
2025,      491613501,4,4916,135,1,2,1,2,1
2025,      491705601,4,4917,56,1,1,6,2,1
2025,      491705801,6,4917,58,1,0,6,2,1
2025,      491802201,3,4918,22,1,2,9,2,1
2025,      491803201,6,4918,32,1,0,4,2,1
2025,      491803601,4,4918,36,1,1,0,2,1
2025,      491803701,2,4918,37,1,0,5,2,1
2025,      491811501,4,4918,115,1,2,7,2,1
2025,      492015201,4,4920,152,1,0,9,2,1
2025,      492102801,4,4921,28,1,0,2,2,1
2025,      492104601,4,4921,46,1,0,3,2,1
2025,      492108201,5,4921,82,1,1,3,2,1
2025,      492109601,5,4921,96,1,0,2,2,1
2025,      492110901,5,4921,109,1,2,11,2,1
2025,      492111201,5,4921,112,1,1,2,2,1
2025,      492201301,3,4922,13,1,1,8,2,1
2025,      492204101,4,4922,41,1,1,0,2,1
2025,      492204201,6,4922,42,1,0,6,2,1
2025,      492204501,4,4922,45,1,1,0,2,1
2025,      492221001,3,4922,210,1,0,8,2,1
2025,      492221901,4,4922,219,1,0,1,2,1
2025,      492302201,4,4923,22,1,0,5,2,1
2025,      492307101,5,4923,71,1,1,0,2,1
2025,      492701801,3,4927,18,1,0,7,2,1
2025,      492708101,3,4927,81,1,1,7,2,1
2025,      492811501,4,4928,115,1,0,3,2,1
2025,      492901001,4,4929,10,1,0,1,2,1
2025,      492902001,5,4929,20,1,1,6,2,1
2025,      493013701,4,4930,137,1,0,2,2,1
2025,      493018601,5,4930,186,1,0,11,2,1
2025,      493108801,4,4931,88,1,1,8,2,1
2025,      493108901,3,4931,89,1,1,5,2,1
2025,      493110601,3,4931,106,1,0,11,2,1
2025,      493110701,5,4931,107,1,1,0,2,1
2025,      493203001,3,4932,30,1,0,2,2,1
2025,      493209401,3,4932,94,1,0,6,2,1
2025,      493313201,5,4933,132,1,1,7,2,1
2025,      493313801,4,4933,138,1,1,6,2,1
2025,      493500201,4,4935,2,1,0,2,2,1
2025,      493502501,5,4935,25,1,1,8,1,1
2025,      493502501,7,4935,25,1,0,4,2,2
2025,      493503101,4,4935,31,1,0,10,2,1
2025,      493612301,4,4936,123,1,1,2,2,1
2025,      493612401,4,4936,124,1,1,0,2,1
2025,      493702701,6,4937,27,1,1,2,1,1
2025,      493702701,7,4937,27,1,1,2,2,2
2025,      493801601,2,4938,16,1,1,5,2,1
2025,      493806101,5,4938,61,1,1,3,2,1
2025,      493901201,4,4939,12,1,1,0,2,1
2025,      493901301,4,4939,13,1,0,6,2,1
2025,      493904101,3,4939,41,1,0,9,2,1
2025,      493908101,4,4939,81,1,1,0,2,1
2025,      493912801,4,4939,128,1,1,5,2,1
2025,      494002001,2,4940,20,1,0,1,2,1
2025,      494003201,3,4940,32,1,1,7,2,1
2025,      494016101,3,4940,161,1,1,8,2,1
2025,      494017401,3,4940,174,1,2,2,2,1
2025,      494017801,2,4940,178,1,2,3,2,1
2025,      495505201,4,4955,52,1,0,2,2,1
2025,      496606901,5,4966,69,1,1,1,2,1
2025,      496607301,6,4966,73,1,1,6,2,1
2025,      496701401,5,4967,14,1,1,2,2,1
2025,      496706301,3,4967,63,1,0,6,2,1
2025,      496801101,4,4968,11,1,1,9,2,1
2025,      496911001,2,4969,110,1,0,1,2,1
2025,      497100401,3,4971,4,1,1,10,2,1
2025,      497206901,5,4972,69,1,1,1,2,1
2025,      497209001,6,4972,90,1,1,0,2,1
2025,      497304101,5,4973,41,1,2,10,2,1
2025,      497502001,3,4975,20,1,0,3,2,1
2025,      497505001,5,4975,50,1,0,7,2,1
2025,      497507801,4,4975,78,1,0,8,2,1
2025,      497600401,3,4976,4,1,0,7,2,1
2025,      497600501,3,4976,5,1,2,5,2,1
2025,      497601601,5,4976,16,1,0,7,2,1
2025,      497606501,3,4976,65,1,2,8,2,1
2025,      497702601,4,4977,26,1,1,3,2,1
2025,      497702701,5,4977,27,1,0,5,2,1
2025,      497702801,7,4977,28,1,0,4,2,1
2025,      497704701,3,4977,47,1,1,11,2,1
2025,      497802501,2,4978,25,1,0,4,2,1
2025,      497803601,6,4978,36,1,1,0,2,1
2025,      497904201,4,4979,42,1,1,1,2,1
2025,      498000601,4,4980,6,1,1,0,2,1
2025,      498001401,7,4980,14,1,0,4,2,1
2025,      498006901,4,4980,69,1,0,4,2,1
2025,      498500601,3,4985,6,1,0,11,2,1
2025,      498507201,4,4985,72,1,0,10,2,1
2025,      498507801,3,4985,78,1,0,5,2,1
2025,      498511801,3,4985,118,1,0,9,2,1
2025,      498704601,4,4987,46,1,2,0,2,1
