ID1,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M,HHID
2023,1,1,86,2,2019, ,      180206001
2023,1,2,63,8,2022, ,      181507701
2023,1,2,84,3,2022, ,      181508901
2023,1,1,60,5,2023, ,      182108101
2023,1,2,28,2,2020,4,      182110901
2023,1,2,82,10,2021, ,      182303301
2023,1,1,45,2,2020, ,      182306401
2023,1,2,63,5,2020, ,      182507001
2023,1,1,68,5,2021, ,      183505701
2023,1,1,56,3,2023, ,      184400901
2023,1,2,83,5,2021, ,      184402401
2023,1,1,92,11,2019, ,      184403101
2023,1,2,72,7,2022, ,      184508101
2023,1,2,77,4,2019, ,      184510101
2023,1,2,72,5,2023, ,      184702801
2023,1,2,75,2,2022, ,      184703701
2023,1,1,87,6,2021, ,      184804801
2023,1,1,85,7,2019, ,      185504401
2023,1,1,0,4,2021, ,      185507901
2023,1,1,97,7,2023, ,      185711401
2023,1,1,38,7,2023, ,      185717301
2023,1,1,70,3,2021, ,      185808301
2023,1,1,95,1,2022, ,      186001401
2023,1,2,83,12,2022, ,      187902901
2023,1,1,80,9,2019, ,      188005701
2023,1,1,30,3,2018, ,      188008901
2023,1,2,1,3,2018, ,      189003001
2023,1,2,52,2,2022, ,      189404301
2023,1,2,78,7,2022, ,      189407301
2023,1,1,65,1,2018, ,      189902801
2023,1,2,81,7,2023, ,      190802501
2023,1,1,98,5,2019, ,      193109701
2023,1,2,90,5,2023, ,      193801801
2023,1,2,72,3,2023, ,      193801901
2023,1,1,77,1,2022, ,      194300301
2023,1,1,70,7,2022, ,      194300401
2023,1,2,34,3,2021,2,      194307401
2023,1,2,60,4,2022, ,      194704901
2023,1,1,62,2,2020, ,      194705101
2023,1,2,70,2,2019, ,      195006901
2023,1,1,30,5,2022, ,      195906901
2023,1,2,72,8,2021, ,      196210901
2023,1,2,81,8,2021, ,      196211001
2023,1,2,57,7,2019, ,      196215101
2023,1,1,90,5,2023, ,      196401701
2023,1,1,39,1,2020, ,      196515701
2023,1,2,77,11,2018, ,      197500201
2023,1,1,50,2,2020, ,      197506301
2023,1,1,90,9,2019, ,      197519701
2023,1,2,61,2,2023, ,      197600701
2023,1,2,24,7,2019,4,      197604401
2023,2,2,80,3,2020, ,      197604401
2023,1,1,62,12,2022, ,      197607801
2023,1,1,0,2,2018, ,      197700801
2023,1,2,67,1,2022, ,      197705101
2023,1,1,50,4,2020, ,      198006901
2023,1,1,22,3,2021, ,      198612801
2023,1,1,78,3,2018, ,      198706701
2023,1,1,86,4,2023, ,      198720101
2023,1,2,42,5,2023,4,      199015101
2023,1,2,65,12,2020, ,      199015801
2023,1,1,54,3,2018, ,      199202601
2023,1,1,69,9,2020, ,      199500901
2023,1,1,72,9,2020, ,      199500902
2023,1,2,48,5,2023,4,      199509201
2023,1,2,68,12,2018, ,      200305201
2023,1,2,88,5,2023, ,      200914701
2023,1,1,79,10,2021, ,      200915101
2023,1,2,60,12,2019, ,      201102101
2023,1,2,15,6,2020,4,      201104901
2023,1,1,80,5,2020, ,      201803001
2023,1,2,68,4,2021, ,      202606601
